🕘️更新时间,#genre#
2025-06-03 14:10:09,http://180.213.174.225/rtp/239.5.0.72:5000$天津电信组播源-cache:180.213.174.225

💰央视付费频道,#genre#
文化精品,http://180.213.174.225/rtp/239.5.0.72:5000$天津电信组播源-cache:180.213.174.225
文化精品,http://180.213.174.225/rtp/239.5.1.126:5000$天津电信组播源-cache:180.213.174.225
文化精品,http://180.105.209.130/rtp/239.49.9.11:6000$江苏电信组播源-cache:180.105.209.130
文化精品,http://180.117.246.93/rtp/239.49.9.11:6000$江苏电信组播源-cache:180.117.246.93
文化精品,http://180.105.201.25/rtp/239.49.9.11:6000$江苏电信组播源-cache:180.105.201.25
文化精品,http://180.107.7.220/rtp/239.49.9.11:6000$江苏电信组播源-cache:180.107.7.220
文化精品,http://180.102.252.23/rtp/239.49.9.11:6000$江苏电信组播源-cache:180.102.252.23
文化精品,http://222.189.250.92/rtp/239.49.9.11:6000$江苏电信组播源-cache:222.189.250.92
文化精品,http://121.233.165.155/rtp/239.49.9.11:6000$江苏电信组播源-cache:121.233.165.155
文化精品,http://180.113.103.229/rtp/239.49.9.11:6000$江苏电信组播源-cache:180.113.103.229
风云音乐,http://180.213.174.225/rtp/239.5.0.75:5000$天津电信组播源-cache:180.213.174.225
风云音乐,http://180.213.174.225/rtp/239.5.1.128:5000$天津电信组播源-cache:180.213.174.225
风云音乐,http://180.105.209.130/rtp/239.49.9.13:6000$江苏电信组播源-cache:180.105.209.130
风云音乐,http://180.117.246.93/rtp/239.49.9.13:6000$江苏电信组播源-cache:180.117.246.93
风云音乐,http://180.105.201.25/rtp/239.49.9.13:6000$江苏电信组播源-cache:180.105.201.25
风云音乐,http://180.107.7.220/rtp/239.49.9.13:6000$江苏电信组播源-cache:180.107.7.220
风云音乐,http://180.102.252.23/rtp/239.49.9.13:6000$江苏电信组播源-cache:180.102.252.23
风云音乐,http://222.189.250.92/rtp/239.49.9.13:6000$江苏电信组播源-cache:222.189.250.92
风云音乐,http://121.233.165.155/rtp/239.49.9.13:6000$江苏电信组播源-cache:121.233.165.155
风云音乐,http://180.113.103.229/rtp/239.49.9.13:6000$江苏电信组播源-cache:180.113.103.229
第一剧场,http://180.213.174.225/rtp/239.5.0.66:5000$天津电信组播源-cache:180.213.174.225
第一剧场,http://180.213.174.225/rtp/239.5.1.121:5000$天津电信组播源-cache:180.213.174.225
第一剧场,http://180.105.209.130/rtp/239.49.9.15:6000$江苏电信组播源-cache:180.105.209.130
第一剧场,http://180.117.246.93/rtp/239.49.9.15:6000$江苏电信组播源-cache:180.117.246.93
第一剧场,http://180.105.201.25/rtp/239.49.9.15:6000$江苏电信组播源-cache:180.105.201.25
第一剧场,http://180.107.7.220/rtp/239.49.9.15:6000$江苏电信组播源-cache:180.107.7.220
第一剧场,http://180.102.252.23/rtp/239.49.9.15:6000$江苏电信组播源-cache:180.102.252.23
